대학명,학과명,학점,모집인원,경쟁률
아주대학교,건축학과,2.36,11,13.9
아주대학교,교통시스템공학과,2.38,7,10.6
아주대학교,기계공학과,2.09,14,11.1
아주대학교,산업공학과,2.24,16,8.9
아주대학교,융합시스템공학과,2.24,X,X
아주대학교,응용화학생명공학과,1.89,10,7.1
아주대학교,첨단신소재공학과,1.97,6,10.7
아주대학교,화학공학과,2.01,10,11
아주대학교,환경안전공학과,2.14,5,6.2
아주대학교,응용화학과,1.89,10,7.1
아주대학교,경제학과,2.38,10,8.8
아주대학교,사회학과,2.43,6,7.5
아주대학교,스포츠레저학과,X,X,X
아주대학교,심리학과,2.14,6,11.2
아주대학교,정치외교학과,2.56,5,9
아주대학교,행정학과,2.34,7,10
아주대학교,경제 분야,2.45,21,8.4
아주대학교,경제사회 분야,2.45,21,8.4
아주대학교,경제정치 분야,2.45,21,8.4
아주대학교,경제정치사회 분야,2.45,21,8.4
아주대학교,경제정치사회융합학부,2.45,21,8.4
아주대학교,사회 분야,2.45,21,8.4
아주대학교,정치 분야,2.45,21,8.4
아주대학교,정치사회 분야,2.45,21,8.4
아주대학교,국방디지털융합학과,X,X,X
아주대학교,디지털미디어학과,2.45,18,13.7
아주대학교,사이버보안학과,2.13,5,7.4
아주대학교,소프트웨어학과,2.09,11,5
아주대학교,인공지능융합학과,2.12,5,8.2
아주대학교,약학과,1.15,5,24
아주대학교,의학과(본과),1.06,10,32.5
아주대학교,의학과(예과),1.06,10,32.5
아주대학교,국어국문학과,2.44,7,10.6
아주대학교,문화콘텐츠학과,2.41,7,15.3
아주대학교,불어불문학과,2.58,5,8.4
아주대학교,사학과,2.51,5,11
아주대학교,영어영문학과,2.53,10,7.5
아주대학교,물리학과,2.46,5,14.2
아주대학교,생명과학과,2.18,8,12.6
아주대학교,수학과,2.27,6,12.7
아주대학교,화학과,2.12,6,12.5
아주대학교,물리・양자과학전공,2.25,25,13
아주대학교,생명과학・응용생물학전공,2.25,25,13
아주대학교,프런티어과학학부,2.25,25,13
아주대학교,화학・물질과학전공,2.25,25,13
아주대학교,전자공학과,1.99,30,5.6
아주대학교,지능형반도체공학과,1.96,5,5
아주대학교,미래모빌리티공학과,2.51,5,7.6
아주대학교,바이오첨단소재공학전공,1.95,15,9
아주대학교,첨단바이오융합대학,1.95,15,9
아주대학교,혁신신약공학전공,1.95,15,9
연세대학교,간호학과,1.33,1.45,6.5
연세대학교,간호학과(특별과정),X,X,X
연세대학교,경영학과,1.16,1.33,7.21
연세대학교,건설환경공학전공,1.38,1.51,5.58
연세대학교,건축공학(4년제),1.33,1.42,6.43
연세대학교,건축공학과,1.33,1.42,6.43
연세대학교,건축학(5년제),1.21,1.38,8.33
연세대학교,기계공학부,1.25,1.41,5.14
연세대학교,기계공학전공,1.25,1.41,5.14
연세대학교,도시공학과,1.31,1.43,5.18
연세대학교,디스플레이융합공학과,1.26,1.54,12
연세대학교,사회환경시스템공학부,1.38,1.51,5.58
연세대학교,산업공학과,1.24,1.39,6.14
연세대학교,시스템반도체공학과,1.13,1.25,10.42
연세대학교,신소재공학부,1.21,1.33,6.81
연세대학교,신소재공학전공,1.21,1.33,6.81
연세대학교,전기전자공학부,1.18,1.31,6.64
연세대학교,전기전자공학전공,1.18,1.31,6.64
연세대학교,화공생명공학부,1.15,1.25,6.63
연세대학교,화공생명공학전공,1.15,1.25,6.63
연세대학교,교육학부,1.17,1.38,6.4
연세대학교,교육학전공,1.17,1.38,6.4
연세대학교,스포츠응용산업학과,X,X,X
연세대학교,체육교육학과,X,X,X
연세대학교,글로벌인재학부,X,X,X
연세대학교,국제통상전공,X,X,X
연세대학교,글로벌기초교육학부,X,X,X
연세대학교,문화미디어전공,X,X,X
연세대학교,바이오생활공학전공,X,X,X
연세대학교,응용정보공학전공,X,X,X
연세대학교,한국언어문화교육전공,X,X,X
연세대학교,국어국문학과,1.3,1.42,6.78
연세대학교,노어노문학과,1.35,1.51,6.17
연세대학교,독어독문학과,1.45,1.62,5.33
연세대학교,문헌정보학과,1.24,1.39,5.57
연세대학교,불어불문학과,1.32,1.48,7.17
연세대학교,사학과,1.25,1.43,6.63
연세대학교,심리학과,1.23,1.37,8.83
연세대학교,영어영문학과,1.31,1.44,5.05
연세대학교,중어중문학과,1.36,1.52,5.17
연세대학교,철학과,1.34,1.46,6.33
연세대학교,문화인류학과,1.23,1.45,6.75
연세대학교,사회복지학과,1.34,1.42,4.83
연세대학교,사회학과,1.25,1.39,5.43
연세대학교,언론홍보영상학부,1.18,1.26,6.5
연세대학교,정치외교학과,1.19,1.33,5.5
연세대학교,행정학과,1.23,1.37,5.38
연세대학교,상경계열,1.17,1.26,6.02
연세대학교,경제학부,1.17,1.26,6.02
연세대학교,경제학전공,1.17,1.26,6.02
연세대학교,응용통계학과,1.12,1.21,6.27
연세대학교,생명공학과,1.12,1.18,8.13
연세대학교,생화학과,1.17,1.25,6.75
연세대학교,시스템생물학과,1.14,1.23,10.75
연세대학교,생명과학부,1.12,1.23,8.5
연세대학교,식품영양학과,1.31,1.47,4.5
연세대학교,실내건축학과,1.32,1.48,5.33
연세대학교,아동・가족학과,1.28,1.46,5.29
연세대학교,의류환경학과,1.35,1.52,4.67
연세대학교,통합디자인학과,X,X,X
연세대학교,신학과,1.35,1.62,6.43
연세대학교,약학과,1.08,1.15,10
연세대학교,약학과(2+4학제),X,X,X
영남대학교,경영학과,3.01,71,6.84
영남대학교,경제금융전공,3.46,42,5.38
영남대학교,경제금융학부,3.46,42,5.38
영남대학교,무역학부,3.67,36,6.33
영남대학교,무역학전공,3.67,36,6.33
영남대학교,산업경영학과,X,X,X
영남대학교,항공운송학과,2.32,6,8.83
영남대학교,회계세무학과,3.44,32,7
영남대학교,기계공학전공,3.22,82,6.44
영남대학교,첨단화학공학전공,2.97,51,8.78
영남대학교,건설시스템공학과,4.27,33,5.82
영남대학교,건축공학전공,3.89,22,8
영남대학교,건축디자인전공,3.62,10,12
영남대학교,건축학부,3.5,32,10
영남대학교,건축학전공,3.31,15,11.53
영남대학교,기계공학부,3.22,82,6.44
영남대학교,도시공학과,4.21,15,6.47
영남대학교,신소재공학부,3.88,49,6.04
영남대학교,신소재공학전공,3.88,49,6.04
영남대학교,에너지화공전공,2.97,51,8.78
영남대학교,융합화학공학전공,2.97,51,8.78
영남대학교,전기공학과,3.01,43,9.07
영남대학교,파이버시스템공학과,4.26,19,6.84
영남대학교,화학공학부,2.97,51,8.78
영남대학교,환경공학과,4.32,23,6.17
영남대학교,국제개발새마을학과,3.74,21,8.38
영남대학교,[외국인유학생]새마을국제개발학전공,X,X,X
영남대학교,국제한국어교육전공,3.81,6,13
영남대학교,글로벌교양학부,X,X,X
영남대학교,글로벌교육학부,X,X,X
영남대학교,글로벌비즈니스학과,X,X,X
영남대학교,글로벌통번역학부,4.38,10,5.9
영남대학교,글로벌학부,4.38,10,5.9
영남대학교,영어통번역전공,4.38,10,5.9
영남대학교,응용중국어통번역전공,4.38,10,5.9
영남대학교,중국언어문화학과,4.45,22,4.86
영남대학교,[외국인유학생]컴퓨터공학전공,X,X,X
영남대학교,[외국인유학생]한국어통번역전공(관광무역),X,X,X
영남대학교,로봇공학과,3.46,23,8.3
영남대학교,미래자동차공학과,3.51,30,7.37
영남대학교,소프트웨어융합전공,3.05,63,6.3
영남대학교,전자공학과,3.17,82,6.84
영남대학교,정보통신공학전공,3.22,63,6.3
영남대학교,컴퓨터공학전공,3.05,63,6.3
영남대학교,컴퓨터학부,3.05,63,6.3
영남대학교,AI데이터사이언스전공,3.05,63,6.3
영남대학교,미디어융합전공,3.05,63,6.3
영남대학교,소프트웨어응용학부,3.26,30,6.5
영남대학교,스마트모빌리티학과,3.51,30,7.37
영남대학교,응용소프트웨어전공,3.26,30,6.5
영남대학교,자동차소프트웨어학과,3.51,30,7.37
영남대학교,차세대반도체학과,X,X,X
영남대학교,교육학과,2.21,7,8.29
영남대학교,국어교육과,2.38,10,8.4
영남대학교,수학교육과,2.01,8,10.63
영남대학교,영어교육과,2.24,10,11.2
영남대학교,유아교육과,2.56,11,9.09
영남대학교,특수체육교육과,3.11,9,10.22
영남대학교,한문교육과,3.65,8,5.38
영남대학교,경찰행정학과,2.18,20,10.55
영남대학교,군사학과,3.41,30,5.23
영남대학교,미디어커뮤니케이션학과,2.76,14,12
영남대학교,사회학과,3.46,12,8.17
영남대학교,심리학과,2.31,14,11.86
영남대학교,정치외교학과,3.26,15,8.07
영남대학교,행정학과,2.88,33,7.76
영남대학교,산림자원학과,3.61,18,9
영남대학교,생명공학과,3.12,24,10.88
영남대학교,식품경제외식학과,3.91,18,6.11
영남대학교,식품공학과,3.45,20,8.75
영남대학교,원예생명과학과,3.76,21,6.9
영남대학교,의생명공학과,2.78,18,13.56
영남대학교,조경학과,4.01,17,6.41
영남대학교,무용학전공,X,X,X
영남대학교,식품영양학과,3.31,19,10.11
영남대학교,의류패션학과,3.71,16,7
영남대학교,주거환경학과,4.13,16,6.81
영남대학교,체육학부,X,X,X
영남대학교,체육학전공,X,X,X
영남대학교,휴먼서비스학과,3.97,15,7.07
영남대학교,약학부,1.14,17,31.76
영남대학교,약학전공,1.14,17,31.76
영남대학교,제약학전공,1.14,17,31.76
영남대학교,관현악전공,X,X,X
영남대학교,국악및작곡전공,X,X,X
영남대학교,산업디자인학과,3.51,12,11.42
영남대학교,생활제품디자인학과,4.13,12,9.42
영남대학교,성악전공,X,X,X
영남대학교,시각디자인학과,3.01,14,14.21
영남대학교,음악학부,X,X,X
영남대학교,트랜스아트과,4.32,8,6.88
영남대학교,피아노전공,X,X,X
영남대학교,회화과,X,X,X
영남대학교,의예과,1.06,8,34.63
영남대학교,의학과,1.06,8,34.63
영남대학교,국어국문학과,3.89,22,6.68
영남대학교,독일언어문화전공,4.45,10,5.3
영남대학교,문화인류학과,3.81,12,10.33
영남대학교,역사학과,3.17,14,12.14
영남대학교,영어영문학과,3.91,30,5.57
영남대학교,유럽언어문화학부,4.45,10,5.3
영남대학교,일어일문학과,4.12,22,5.09
영남대학교,철학과,4.26,12,6.42
영남대학교,프랑스어문전공,4.45,10,5.3
영남대학교,물리학과,4.12,16,6.44
영남대학교,생명과학과,3.06,21,11.86
영남대학교,수학과,3.46,17,7.18
영남대학교,통계학과,3.31,19,7.16
영남대학교,화학과,3.26,20,8.85
이화여자대학교,간호학부,1.56,17,5
이화여자대학교,간호학전공,1.56,17,5
이화여자대학교,글로벌건강간호학전공,1.56,17,5
이화여자대학교,경영학부,1.62,41,4.1
이화여자대학교,건축도시시스템공학과,1.7,10,4.3
이화여자대학교,건축학과(5년),1.57,12,4.6
이화여자대학교,공과대학,X,X,X
이화여자대학교,기후에너지시스템공학과,1.71,10,5.4
이화여자대학교,식품생명공학과,1.58,9,4.6
이화여자대학교,융합전자반도체공학부,1.54,22,5.3
이화여자대학교,전자전기공학전공,1.63,17,3.5
이화여자대학교,지능형반도체공학전공,1.54,22,5.3
이화여자대학교,화공신소재공학과,1.53,11,5
이화여자대학교,환경공학과,1.72,9,4.1
이화여자대학교,휴먼기계바이오공학과,1.53,17,4.4
이화여자대학교,과학교육과,1.53,18,4.5
이화여자대학교,교육공학과,1.5,10,4.2
이화여자대학교,교육학과,1.44,8,5.2
이화여자대학교,국어교육과,1.47,10,4.3
이화여자대학교,사회과교육과,1.45,15,3.6
이화여자대학교,수학교육과,1.44,10,4.3
이화여자대학교,영어교육과,1.44,10,4.4
이화여자대학교,유아교육과,1.56,8,3.5
이화여자대학교,초등교육과,1.26,9,7.9
이화여자대학교,특수교육과,1.67,8,3.5
이화여자대학교,경제학과,1.57,15,3.7
이화여자대학교,문헌정보학과,1.64,9,3.7
이화여자대학교,사회과학대학,X,X,X
이화여자대학교,사회복지학과,1.72,9,4.3
이화여자대학교,사회학과,1.6,10,4.6
이화여자대학교,소비자학과,1.69,9,3.9
이화여자대학교,심리학과,1.48,9,4.5
이화여자대학교,정치외교학과,1.64,11,4
이화여자대학교,커뮤니케이션·미디어학부,1.49,17,5.1
이화여자대학교,행정학과,1.65,10,3.5
이화여자대학교,국제학부,X,X,X
이화여자대학교,자유전공,X,X,X
이화여자대학교,국제학전공,X,X,X
이화여자대학교,글로벌한국학전공,X,X,X
이화여자대학교,뇌・인지과학부,1.49,10,4.4
이화여자대학교,스크랜튼학부,X,X,X
이화여자대학교,국제사무학과,1.83,8,3.4
이화여자대학교,글로벌스포츠산업전공,X,X,X
이화여자대학교,스포츠과학전공,X,X,X
이화여자대학교,식품영양학과,1.71,9,3.3
이화여자대학교,신산업융합대학,X,X,X
이화여자대학교,융합보건학과,1.61,9,3.4
이화여자대학교,융합콘텐츠학과,1.57,8,4
이화여자대학교,의류산업학과,1.73,10,4.1
이화여자대학교,체육과학부,X,X,X
이화여자대학교,미래산업약학전공,X,X,X
이화여자대학교,약학부,X,X,X
이화여자대학교,약학전공,X,X,X
이화여자대학교,건반악기과,X,X,X
이화여자대학교,관현악과,X,X,X
이화여자대학교,무용과,X,X,X
이화여자대학교,성악과,X,X,X
이화여자대학교,음악대학,X,X,X
이화여자대학교,작곡과,X,X,X
이화여자대학교,한국음악과,X,X,X
이화여자대학교,의예과,X,X,X
이화여자대학교,의학과,X,X,X
이화여자대학교,데이터사이언스전공,1.51,10,3.9
이화여자대학교,인공지능전공,1.56,10,4
이화여자대학교,사이버보안학과,1.67,10,3.5
이화여자대학교,인공지능대학,X,X,X
이화여자대학교,컴퓨터공학과,1.59,17,3.8
이화여자대학교,인공지능데이터사이언스학부,1.53,20,4
이화여자대학교,국어국문학과,1.61,15,3.9
이화여자대학교,기독교학과,1.92,6,3.8
이화여자대학교,독어독문학과,1.74,10,4.4
이화여자대학교,불어불문학과,1.77,10,4.1
이화여자대학교,사학과,1.63,10,4.6
이화여자대학교,영어영문학부,1.57,22,3.8
이화여자대학교,인문과학대학,X,X,X
이화여자대학교,중어중문학과,1.72,12,4.1
이화여자대학교,철학과,1.65,10,3.9
이화여자대학교,물리학과,1.69,8,3.9
이화여자대학교,수학과,1.61,9,3.3
이화여자대학교,자연과학대학,X,X,X
이화여자대학교,통계학과,1.55,10,3.4
이화여자대학교,생명과학과,1.58,17,4.2
이화여자대학교,화학・나노과학과,1.6,15,4
이화여자대학교,공간디자인전공,X,X,X
이화여자대학교,도자예술전공(신),X,X,X
이화여자대학교,동양화전공,X,X,X
이화여자대학교,디자인학부(신),X,X,X
이화여자대학교,산업디자인전공,X,X,X
이화여자대학교,서양화전공,X,X,X
이화여자대학교,섬유・패션학부,X,X,X
이화여자대학교,섬유예술전공(섬유・패션학부),X,X,X
이화여자대학교,시각디자인전공,X,X,X
이화여자대학교,영상디자인전공,X,X,X
이화여자대학교,조소전공(신),X,X,X
이화여자대학교,조형예술학부,X,X,X
이화여자대학교,패션디자인전공(섬유・패션학부),X,X,X
이화여자대학교,호크마교양대학,X,X,X
이화여자대학교,글로벌학부,X,X,X
이화여자대학교,호크마학부,X,X,X
인하대학교,간호학과,1.81,13,11.23
인하대학교,파이낸스경영학과,1.99,8,5.38
인하대학교,경영학과,2.18,24,5.04
인하대학교,국제통상학과,2.25,13,4.85
인하대학교,아태물류학부,2.16,15,4.67
인하대학교,전기전자공학부,1.89,28,5.64
인하대학교,건축공학전공,2.24,10,6.5
인하대학교,건축학부,2.12,18,7.22
인하대학교,건축학전공,2.01,8,8.13
인하대학교,고분자공학과,1.94,10,6.9
인하대학교,공간정보공학과,2.18,7,8.43
인하대학교,기계공학과,1.99,29,6.66
인하대학교,반도체시스템공학과,1.78,11,9.09
인하대학교,사회인프라공학과,2.32,11,7.73
인하대학교,산업경영공학과,2.02,11,5.45
인하대학교,신소재공학과,1.88,16,6.56
인하대학교,에너지자원공학과,2.21,5,8.4
인하대학교,조선해양공학과,2.28,10,7
인하대학교,항공우주공학과,1.88,10,8.4
인하대학교,화학공학과,1.79,16,7.25
인하대학교,환경공학과,2.14,9,9.22
인하대학교,이차전지융합학과,1.92,7,8.86
인하대학교,문화콘텐츠문화경영학과,2.15,11,4.82
인하대학교,사학과,2.38,7,6.86
인하대학교,영어영문학전공,2.41,15,4.47
인하대학교,일본언어문화학과,2.45,8,4.38
인하대학교,중국학과,2.52,11,4.45
인하대학교,철학과,2.48,5,6.8
인하대학교,프랑스언어문화전공,2.55,7,5.29
인하대학교,한국어문학과,2.31,10,5.8
인하대학교,영미유럽인문융합학부,2.48,22,4.7
인하대학교,금융투자학과,X,X,X
인하대학교,메카트로닉스공학과,X,X,X
인하대학교,메카트로닉스공학과,X,X,X
인하대학교,반도체산업융합학과,1.95,5,7.2
인하대학교,산업경영학과,X,X,X
인하대학교,소프트웨어융합공학과,X,X,X
인하대학교,반도체산업융합학과(계약),X,X,X
인하대학교,바이오제약공학과,2.01,6,7.17
인하대학교,생명공학과,1.87,9,8.67
인하대학교,생명과학과,1.89,9,8.22
인하대학교,첨단바이오의약학과,1.94,6,9.5
인하대학교,교육학과,1.88,5,7.8
인하대학교,국어교육과,2.01,6,8.67
인하대학교,사회교육과,2.04,6,6.17
인하대학교,수학교육과,1.85,6,7.33
인하대학교,영어교육과,2.02,6,7.5
인하대학교,체육교육과,X,X,X
인하대학교,경제학과,2.21,15,5.4
인하대학교,미디어커뮤니케이션학과,1.98,8,8.25
인하대학교,사회복지학과,2.16,7,7.57
인하대학교,소비자학과,2.25,7,5.57
인하대학교,아동심리학과,2.11,7,7.43
인하대학교,정치외교학과,2.28,8,5.13
인하대학교,행정학과,2.18,11,4.55
인하대학교,데이터사이언스학과,1.96,10,5.3
인하대학교,디자인테크놀로지학과,2.14,5,8.2
인하대학교,스마트모빌리티공학과,2.01,10,5.9
인하대학교,인공지능공학과,1.84,13,6.85
인하대학교,컴퓨터공학과,1.77,20,7.2
인하대학교,의류디자인학과,2.48,6,4.83
인하대학교,디자인융합학과,X,X,X
인하대학교,스포츠과학과,X,X,X
인하대학교,연극영화학과,X,X,X
인하대학교,조형예술학과,X,X,X
인하대학교,의예과,1.08,8,25.38
인하대학교,의학과,1.08,8,25.38
인하대학교,물리학과,2.11,8,9
인하대학교,수학과,2.08,8,8.38
인하대학교,식품영양학과,2.19,9,7.89
인하대학교,통계학과,1.98,8,6.5
인하대학교,해양과학과,2.17,9,10.11
인하대학교,화학과,1.97,10,8.5
영산대학교,호텔관광학과,2.62,9,10.3
영산대학교,AI그래픽콘텐츠학과,2.45,7,12.1
영산대학교,Bakery&Beverage전공,2.88,8,15.4
영산대학교,KXFood조리전공,3.01,8,14.2
영산대학교,게임VR학과,2.53,10,11.5
영산대학교,관광컨벤션학과,2.71,8,9.8
영산대학교,동양조리전공,3.05,7,13.8
영산대학교,디자인학부,2.58,15,18.5
영산대학교,디자인학부(실내환경디자인전공),2.64,7,12.4
영산대학교,디자인학부(패션디자인전공),2.51,7,14.1
영산대학교,만화애니메이션학과,2.15,5,25.4
영산대학교,미용예술학과,2.82,10,11.2
영산대학교,서양조리전공,2.98,7,14.5
영산대학교,연기공연미디어학부(방송사진미디어전공),2.75,6,13.2
영산대학교,연기공연미디어학부(연기공연예술전공),X,X,X
영산대학교,웹툰학과,2.22,5,22.1
영산대학교,조리예술학부,2.95,30,14.4
영산대학교,항공관광학과,2.58,12,19.8
영산대학교,시니어모델학과,X,X,X
영산대학교,연기공연미디어학부(KXPop전공),X,X,X
영산대학교,미용건강관리학과,2.91,8,9.5
영산대학교,부동산학과,2.78,11,8.2
영산대학교,사회복지학과,2.55,13,11.4
영산대학교,실버재활학과,2.84,7,10.1
영산대학교,아동・가족상담학과,2.72,9,10.8
영산대학교,웰빙조리창업학과,3.12,6,8.9
영산대학교,헬스케어학과,2.79,8,12.3
영산대학교,EGL전공,X,X,X
영산대학교,KX비즈니스전공,2.85,10,7.4
영산대학교,글로벌디자인전공,2.7,5,11.5
영산대학교,글로벌학부,2.82,25,8.5
영산대학교,레저스포츠관광학과,2.95,8,13.6
영산대학교,물류경영학과,2.68,12,9.1
영산대학교,비즈니스법전공,2.75,10,8.8
영산대학교,한・베트남통역전공,3.21,5,6.5
영산대학교,노인복지상담학과,2.88,6,9.2
영산대학교,인문문화융합학과,3.15,8,7.1
영산대학교,간호학과,1.85,35,15.6
영산대학교,건축공학과,2.74,12,11.8
영산대학교,경찰행정학과,2.24,12,16.4
영산대학교,기계・자동차공학과,2.65,18,10.2
영산대학교,도시농업치유복지융합전공,3.05,5,9.1
영산대학교,도시부동산전공,2.81,8,8.5
영산대학교,동양무예학과,X,X,X
영산대학교,동양상담복지학부,2.94,10,9.8
영산대학교,드론공간정보공학과,2.78,7,12.5
영산대학교,물리치료학과,1.94,10,22.4
영산대학교,반려동물복지전공,2.61,6,18.5
영산대학교,법학과,2.52,18,10.4
영산대학교,사회복지정보전공,2.71,10,11.2
영산대학교,수소시스템공학과,2.72,8,13.1
영산대학교,융합전공학부,2.8,20,9.5
영산대학교,전기전자공학과,2.48,25,11.6
영산대학교,치위생학과,2.12,10,14.5
영산대학교,태권도학과,X,X,X
영산대학교,명리전공,X,X,X
영산대학교,컴퓨터공학과,2.35,22,12.8
영산대학교,풍수지리전공,2.68,35,6.8
울산대학교,경영경제융합학부,2.75,18,7.2
울산대학교,공공인재학부,2.52,42,8.5
울산대학교,ICT융합학부,2.44,12,10.2
울산대학교,ICT융합학부(인공지능트랙),2.58,30,7.8
울산대학교,ICT융합학부(인공지능트랙제외),2.61,15,9.4
울산대학교,미래모빌리티공학부,2.38,20,11.5
울산대학교,바이오메디컬헬스학부,2.55,25,8.9
울산대학교,신소재・반도체융합학부,2.48,10,9.5
울산대학교,신소재・반도체융합학부(나노반도체공학트랙),2.59,15,8.4
울산대학교,신소재・반도체융합학부(신소재공학트랙),2.41,18,9.2
울산대학교,에너지화학공학부,2.57,22,7.6
울산대학교,전기전자융합학부,2.88,16,6.4
울산대학교,건축・도시환경학부,2.65,12,13.8
울산대학교,디자인융합학부,X,X,X
울산대학교,스포츠과학부,2.61,5,9
울산대학교,EXMobility전공,2.95,8,5.8
울산대학교,공동체혁신전공,2.61,10,9.6
울산대학교,미래모빌리티전공,2.72,12,7.2
울산대학교,스마트기계설계해석전공,2.91,10,6.1
울산대학교,스마트도시・건설전공,2.65,10,8.3
울산대학교,스마트제조ICT전공,2.78,8,7.9
울산대학교,저탄소그린에너지전공,2.53,10,10.5
울산대학교,지능로봇전공,1.72,25,18.4
울산대학교,간호학과,1.72,25,18.4
울산대학교,간호학전공,1.04,10,35.8
울산대학교,의예과,1.04,10,35.8
울산대학교,의학과,1.04,10,35.8
울산대학교,의학전공,2.92,30,5.4
울산대학교,글로벌인문학부,X,X,X
울산대학교,예술학부,X,X,X
울산대학교,예술학부(미술계열트랙),X,X,X
울산대학교,예술학부(음악계열트랙),X,X,X
울산과학기술원(UNIST),기계공학과,X,X,X
울산과학기술원(UNIST),반도체공학과,X,X,X
울산과학기술원(UNIST),신소재공학과,X,X,X
울산과학기술원(UNIST),에너지화학공학과,X,X,X
울산과학기술원(UNIST),원자력공학과,X,X,X
울산과학기술원(UNIST),지구환경도시건설공학과,X,X,X
울산과학기술원(UNIST),경영과학부,X,X,X
울산과학기술원(UNIST),인문학부,X,X,X
울산과학기술원(UNIST),물리학과,X,X,X
울산과학기술원(UNIST),수리과학과,X,X,X
울산과학기술원(UNIST),화학과,X,X,X
울산과학기술원(UNIST),디자인학과,X,X,X
울산과학기술원(UNIST),바이오메디컬공학과,X,X,X
울산과학기술원(UNIST),산업공학과,X,X,X
울산과학기술원(UNIST),생명과학과,X,X,X
울산과학기술원(UNIST),전기전자공학과,X,X,X
울산과학기술원(UNIST),컴퓨터공학과,X,X,X
전남대학교,미래모빌리티학과,2.88,12,7.5
전남대학교,IoT인공지능융합전공,3.05,10,6.8
전남대학교,데이터사이언스융합전공,2.91,10,8.2
전남대학교,로봇공학융합전공,3.12,10,7.4
전남대학교,미래에너지공학융합전공,3.25,10,6.1
전남대학교,빅데이터금융공학융합전공,3.34,8,5.5
전남대학교,빅데이터융합학과,2.98,12,8.9
전남대학교,인공지능학부,2.76,25,9.4
전남대학교,지능실감미디어융합전공,3.41,8,5.2
전남대학교,지능형모빌리티융합전공,3.02,10,6.5
전남대학교,지식재산융합전공,3.55,5,4.8
전남대학교,국제개발협력학융합전공,3.62,5,4.2
전남대학교,간호학과,2.15,35,11.2
전남대학교,경영학부,2.68,78,7.8
전남대학교,경제학부,3.12,45,6.4
전남대학교,기계공학부,2.74,52,8.5
전남대학교,건축공학전공,3.15,18,7.1
전남대학교,건축도시설계전공(5년),2.82,15,9.8
전남대학교,건축학부,2.98,33,8.5
전남대학교,고분자융합소재공학부,3.24,35,6.2
전남대학교,산업공학과,3.18,16,7.5
전남대학교,생물공학과,2.85,18,9.1
전남대학교,신소재공학부,3.02,55,6.8
전남대학교,에너지자원공학과,3.58,12,5.4
전남대학교,전기공학과,2.05,35,12.5
전남대학교,전자컴퓨터공학부,2.48,85,10.2
전남대학교,토목공학과,3.82,25,5.1
전남대학교,화학공학부,2.35,42,9.4
전남대학교,환경에너지공학과,3.21,15,7.6
전남대학교,농생명화학과,3.31,16,6.8
전남대학교,농업경제학과,3.28,14,5.9
전남대학교,동물자원학부,3.15,22,7.4
전남대학교,바이오에너지공학과,3.42,12,6.1
전남대학교,분자생명공학과,3.08,14,8.5
전남대학교,산림자원학과,3.51,16,5.8
전남대학교,식품공학과,3.18,16,8.2
전남대학교,원예생명공학과,3.45,15,6.4
전남대학교,융합바이오시스템기계공학과,3.38,14,5.7
전남대학교,응용생물학과,3.12,14,8.9
전남대학교,응용식물학과,3.25,15,6.5
전남대학교,임산공학과,3.85,12,4.8
전남대학교,조경학과,3.35,14,7.2
전남대학교,지역 ・ 바이오시스템공학과,3.65,12,5.1
전남대학교,자율전공학부(1년),2.55,35,15.4
전남대학교,자율전공학부(4년),2.72,20,12.1
전남대학교,가정교육과,3.15,8,6.5
전남대학교,교육학과,2.18,8,8.2
전남대학교,국어교육과,2.05,12,9.4
전남대학교,물리교육과,2.52,8,7.1
전남대학교,생물교육과,2.12,8,8.8
전남대학교,수학교육과,1.95,12,10.5
전남대학교,역사교육과,2.08,8,9.1
전남대학교,영어교육과,2.02,12,11.2
전남대학교,유아교육과,2.45,10,7.6
전남대학교,윤리교육과,2.21,8,8.4
전남대학교,음악교육과,3.22,8,12.5
전남대학교,지구과학교육과,2.48,8,6.2
전남대학교,지리교육과,2.35,8,7.5
전남대학교,체육교육과,2.65,10,14.8
전남대학교,특수교육학부,2.58,15,8.1
전남대학교,화학교육과,2.28,8,7.9
전남대학교,문헌정보학과,3.12,12,6.8
전남대학교,문화인류고고학과,3.45,10,5.5
전남대학교,미디어커뮤니케이션학과,2.55,15,10.2
전남대학교,사회학과,3.08,14,6.4
전남대학교,심리학과,2.24,14,9.8
전남대학교,정치외교학과,3.21,15,5.8
전남대학교,지리학과,3.48,12,5.2
전남대학교,행정학과,2.51,22,8.9
전남대학교,생활복지학과,3.25,12,7.4
전남대학교,식품영양과학부,3.18,25,8.1
전남대학교,의류학과,3.65,12,5.5
전남대학교,수의예과,1.35,15,28.5
전남대학교,수의학과,1.35,15,28.5
전남대학교,약학부,1.21,12,35.4
전남대학교,국악학과,X,X,X
전남대학교,디자인학과,X,X,X
전남대학교,미술학과,X,X,X
전남대학교,음악학과,X,X,X
전남대학교,의학과,1.12,45,18.5
전남대학교,국어국문학과,3.22,25,6.2
전남대학교,독일언어문학과,3.85,12,4.8
전남대학교,불어불문학과,3.91,10,4.5
전남대학교,사학과,3.15,16,7.4
전남대학교,영어영문학과,2.95,35,5.8
전남대학교,일어일문학과,3.48,18,5.1
전남대학교,중어중문학과,3.52,20,5.4
전남대학교,철학과,3.65,14,6.1
전남대학교,물리학과,3.42,18,6.5
전남대학교,생명과학기술학부,2.52,32,9.8
